Genes,C4_a,C4_b,C4_c,C4_d
GENE1,538.246214390177,344.957710875146,507.046930937324,275.193020758509
GENE2,402.642746057854,431.986810000512,207.017229212005,790.514033952495
GENE3,963.67628447618,571.692272765488,622.850135876957,490.741569366127
GENE4,312.438036911591,457.985260265174,615.717720869126,1232.78216033856
GENE5,816.99091234768,886.033013274476,608.494906306229,670.308634752305
GENE6,350.546435607469,1030.23194076417,189.74015507429,433.956929013074
GENE7,580.246788100059,986.770466519692,400.953985304917,240.992073962423
GENE8,534.558834457104,99.4126014723996,389.098924054141,499.363241458858
GENE9,679.840252471814,171.173607362826,809.542826070014,377.288387182979
GENE10,326.676566545233,290.611108164603,69.0194155622294,546.448927417646
GENE11,191.419216998419,209.604037040533,830.398485833951,362.31591056486
GENE12,1017.91555313748,431.948415736708,474.356982209558,801.61838388909
GENE13,355.18421854988,449.308236162183,593.907855279307,570.104795132553
GENE14,301.192521899167,547.26465282136,544.217596501489,268.067800640781
GENE15,562.541335033463,673.690751007858,719.622447511382,625.247850427749
GENE16,639.696987992408,899.419938415027,37.7515903023111,670.0833990059
GENE17,630.925412240403,877.505858652263,267.777491062687,984.823123751371
GENE18,549.455000116269,602.817074904772,1100.93097383648,328.438277101562
GENE19,270.911544721274,191.992504134661,497.7869371764,96.1429266984972
GENE20,-194.323723598197,609.916645648746,1247.3707902431,1144.75614663934
GENE21,337.666711437635,193.254362236644,862.281284752236,551.690051764606
GENE22,838.167952637948,557.184586191509,1004.81531639455,789.426513415042
GENE23,106.551923614679,303.330466021833,606.576661617227,681.974293898723
GENE24,697.077279278421,923.23395089717,234.661938561608,212.491575365899
GENE25,747.644863390104,643.366325811872,-56.5871223235461,747.329874149992
GENE26,37.3197786268603,465.402857669778,702.847076187205,406.62040287315
GENE27,496.102459055228,489.229074972691,1074.5415006042,712.985084468419
GENE28,712.673917345657,547.702959787948,43.6956693079143,525.5345452305
GENE29,440.646307212436,222.492398978658,288.295273529705,807.539211730385
GENE30,510.821604255543,552.744396686814,900.037651876642,789.426912616507
GENE31,832.148873562428,1007.31325659587,523.834339977785,454.941041721609
GENE32,373.961103892246,220.836349586589,708.637253205786,485.589422941931
GENE33,319.432875950232,261.460250625783,500.143610709216,696.183884989498
GENE34,-1.51653495544201,543.425072977667,442.15489930642,329.460114917107
GENE35,31.3742417393291,460.255223060068,895.165692935575,968.563442225982
GENE36,484.129621887668,665.574800851286,-181.933112316235,392.254476121185
GENE37,447.06591480572,398.797635762948,443.490060040955,516.012050518832
GENE38,585.711864605028,749.430181747149,1128.51901228276,53.431349181695
GENE39,702.563591135276,536.206564515248,640.878391846352,536.571600274237
GENE40,221.850530147716,898.894400202883,87.8620850961823,273.97480621259
GENE41,878.661601125224,757.587866165882,477.767682286731,1382.66660320849
GENE42,589.193429714203,731.968880480141,836.206143417546,784.358712509944
GENE43,800.936472534019,477.409718311773,412.261613260047,565.815461485064
GENE44,348.954275942492,881.079497505767,1006.69074619451,242.507930677375
GENE45,253.672177562377,454.473887102342,269.644483000312,454.31526555085
GENE46,895.070850774928,466.765895693697,526.773920759346,930.539159852834
GENE47,430.938656972703,975.096426614468,1092.21497192215,871.999878710524
GENE48,327.316182517717,1057.78938516044,442.420012085578,500.450149827968
GENE49,612.109639431085,507.094284797825,696.357864796855,253.299796096551
GENE50,604.632066877751,770.65292146438,103.213226911803,368.498247543197
GENE51,539.933558686035,961.560053066383,1011.16014844496,617.852082645584
GENE52,1088.88709007834,339.849905790792,253.34728214256,430.184901766209
GENE53,796.086043864167,439.448912391093,609.103702085944,643.016182799821
GENE54,360.217825843596,833.665091211071,825.465624962941,592.723265466976
GENE55,369.399575083988,360.845142266105,352.708849809453,728.150148940543
