Genes,C1_a,C1_b,C1_c,C1_d
GENE1,651.969287124191,749.380411191897,507.416164742959,739.786230663301
GENE2,441.128241502253,912.48570416465,672.207844486712,750.382119202213
GENE3,577.904565370038,490.515529252984,890.915289850069,563.935138263298
GENE4,540.102128662482,747.819131502757,392.404110085266,696.589104475103
GENE5,120.186833141098,930.582031918256,738.56203255451,732.878281300463
GENE6,611.505223951278,649.279993575351,998.199913166282,557.509561127586
GENE7,701.105006414003,788.333843751867,801.680111169793,614.036391062474
GENE8,807.922069685122,838.207008798836,517.193570249309,571.854177589927
GENE9,848.822040756382,626.500364254182,753.148568691769,730.575107128586
GENE10,717.016330026857,688.573889616139,619.713000143932,501.387732835494
GENE11,746.20025595859,943.566253325029,407.005713611438,831.284563480921
GENE12,709.074650121056,639.426091216589,606.972524042137,620.944978530805
GENE13,880.744466780759,1001.05363442843,802.66026633002,648.839624143031
GENE14,584.679949274873,639.166044776342,479.069464299257,757.254226651915
GENE15,535.389209923382,496.222305759767,837.215406755948,378.11544633459
GENE16,580.768766504504,645.525377876393,620.968789338364,1041.41652257439
GENE17,542.875164111555,487.68472447788,588.652096757045,905.597260255826
GENE18,650.179802834222,794.677509561684,700.919866839887,687.791746535086
GENE19,1004.98141791815,460.079634696288,778.788227014552,676.713073302028
GENE20,386.382189174762,872.526975808892,621.251380466025,500.157424379382
GENE21,694.263346130951,914.834739530824,721.167856048739,820.092132122736
GENE22,1001.59096959884,692.718964573915,652.237692056509,850.581362255858
GENE23,827.572280691105,737.195375771774,976.402007334042,740.814075557376
GENE24,935.549290024434,925.08221899918,738.875689556408,550.025196569091
GENE25,801.165406487747,749.70334191928,829.173426232359,728.527447346005
GENE26,776.655297834461,520.188525834432,943.317234356955,517.406278761941
GENE27,551.803249312881,1022.73031267481,814.995205726008,544.608321007375
GENE28,493.31254739561,517.234062944994,771.14507734218,461.005613123848
GENE29,833.863988579408,492.064405757356,737.786911491864,696.627173656468
GENE30,735.271569766909,712.309235147642,560.238424857143,828.051407685748
GENE31,451.644103085199,828.724065937281,541.555513033209,373.580368187786
GENE32,727.287915915925,531.455619875962,996.270060558756,637.441252679855
GENE33,859.757629092629,589.026588922412,578.764445792114,812.622213159738
GENE34,145.888884267175,672.932002831526,597.473458912768,654.062443630709
GENE35,731.102222430182,693.576762273734,789.769998334813,947.854407001873
GENE36,764.675967632706,706.868252302119,864.598937496826,439.767888252692
GENE37,355.372806072663,659.810638587663,645.220055290248,630.807464817495
GENE38,636.87241337389,632.539387136412,916.202505743778,1196.22576351235
GENE39,527.477900404809,1010.6488719841,886.387542093061,739.321580713855
GENE40,589.373698382388,730.589399727014,444.585313216514,476.519932805743
GENE41,535.209159920535,582.412398783027,577.111448356888,558.768590924414
GENE42,447.645815670246,841.836912769646,755.614698115066,819.485826965344
GENE43,770.542021798201,668.260288508147,839.764749513012,762.167976257887
GENE44,573.45681723223,693.261131066236,790.794770259965,771.841261949294
GENE45,656.840406463127,842.769161544756,496.394351526884,582.872237849268
GENE46,616.761964719818,828.156761213588,587.015541417335,783.306746616646
GENE47,544.034477510164,576.186943718553,724.667820140285,809.357556300809
GENE48,542.908087168721,675.676929537197,768.196741242558,587.085589279756
GENE49,476.569268491858,776.633153148125,608.234171843872,932.203020125316
GENE50,623.137218454713,695.915900573133,832.224908589966,631.26332267122
GENE51,531.616433705952,453.988768110564,816.302328310835,862.232618407594
GENE52,845.266139696613,607.288708924597,584.739529172466,924.736297395548
GENE53,999.727816299544,620.458842740606,434.014304619318,791.722848040578
GENE54,513.459599557462,610.402592911155,375.146521257201,750.122416102913
GENE55,1018.76790902236,785.04517120151,416.992341171735,644.219338983967
GENE56,702.334200452233,712.965233183842,428.918142080464,878.101372763867
GENE57,778.149243319891,690.583641102355,905.058983902775,659.504737942206
GENE58,943.73577620276,560.069233647271,548.734434363097,525.033805789983
GENE59,266.085670272994,835.970538596949,596.910939770256,473.518008339142
GENE60,592.553345897568,1127.67012622412,664.276631913949,362.877958513804
GENE61,731.928923799815,798.859204601403,910.083873626398,706.485584847345
GENE62,493.448554113184,684.888701270563,831.781030754874,544.150477492135
GENE63,590.408074490876,695.02042518029,584.473290089638,435.85672025767
GENE64,750.459776440744,648.478026628663,634.429379403546,619.66648273788
GENE65,868.520335154459,817.422523007764,914.488508126834,588.455930980342
GENE66,758.688053651044,343.196472940148,385.149518329371,586.575418147467
GENE67,655.103244259658,791.636234869647,771.360174569481,639.581461063232
GENE68,340.399720056143,811.924682327628,941.355234787431,686.754375231753
GENE69,755.857375264184,886.25533316892,825.66447633463,797.607966989996
GENE70,818.411182743348,629.894991791591,657.498481770412,913.22562519995
GENE71,593.959025728696,496.870074704525,481.959879923562,861.112340299449
GENE72,729.455252872068,854.213855802719,915.423815724557,890.942314040017
GENE73,535.94637802153,682.8342421961,596.43703516733,309.191193150888
GENE74,635.651597848039,306.809541796729,770.063764965152,547.54516207152
GENE75,543.633110038938,553.439592864103,714.465119313558,559.33355392712
GENE76,841.6287260965,610.664965157054,514.801533971773,625.154733582703
GENE77,635.575158665573,739.689997949983,787.443991260396,1028.04732803602
GENE78,570.176788590809,593.026335287891,808.709245301425,763.268402710046
GENE79,751.969381986477,656.013974851329,816.633780421823,692.570155784317
GENE80,891.02644966182,792.197214394396,677.397233387545,886.576122117862
GENE81,944.857609363063,755.333777673606,1009.83515096277,1020.85790043408
GENE82,769.329952325202,689.682783033518,610.445944453761,857.234048668871
GENE83,529.596151784021,615.034781048001,586.620415646465,822.373623917816
GENE84,908.596071270733,662.764765967721,498.298757201841,851.464034558412
GENE85,587.131890406889,613.197909330752,821.917655750621,611.573935835344
GENE86,963.259619575076,803.019542551746,552.879375915947,748.087660652522
GENE87,677.208373021858,1036.96943623244,758.464280156019,808.31249245987
GENE88,388.301915608759,568.880829256941,539.417831190042,524.686981778932
GENE89,715.472576215367,357.019609232202,708.989159147644,537.948177491911
GENE90,623.903316521084,647.637926907722,779.295813668296,638.937922377889
GENE91,643.386728066763,743.197113489761,872.108780081385,571.199641465337
GENE92,740.177098898806,629.473074489151,496.875716706028,464.02206340677
GENE93,693.625312821053,565.523480971372,570.491867586384,654.84299091374
GENE94,545.030448908593,436.63367218929,855.370444745894,475.806977084786
GENE95,463.940491561064,863.442899004944,590.467437573193,655.87614879621
GENE96,560.739144838901,745.802017206727,813.093019393317,865.971323434542
GENE97,982.097816497542,713.176928517632,731.175409627815,649.99142730791
GENE98,662.84360907686,699.090112725257,598.294933289932,600.738454078849
GENE99,603.053486403825,632.697525670401,1058.95382204522,751.404024667868
GENE100,780.147169995017,567.33248458156,580.292521974516,623.078711781166
