Genes,C5_a,C5_b,C5_c,C5_d
GENE1,999.96003228992,738.524195145078,740.636681926778,999.226661898954
GENE2,1056.89920764781,909.562645355556,1015.8659398762,894.587672131345
GENE3,929.665440844436,1081.55195458356,835.510658833208,898.341668502958
GENE4,799.099815371823,872.908669647725,960.338031955303,929.602928208797
GENE5,1146.19671984152,810.229160028746,893.690608517411,1067.07939182755
GENE6,852.620626185341,803.244271936175,931.017843920751,899.561529332163
GENE7,922.498511886378,940.874387468981,1019.61841632671,947.957135508511
GENE8,877.927523773959,898.349551342447,789.964548154396,758.964639506157
GENE9,904.899234071696,1016.68932888813,850.756006721339,874.952119284307
GENE10,896.027514094615,990.111610519839,801.342264458311,895.205090589657
GENE11,1050.967331437,813.654853267295,925.327587343916,1127.28234052659
GENE12,587.051125808775,869.882639440743,1062.45201532982,890.3533535584
GENE13,913.44606281665,862.001094194617,1055.53061232657,914.865205163473
GENE14,869.39031770788,951.38082424135,979.03089332316,1054.33530945247
GENE15,778.969865905372,829.121071801537,951.343362893466,835.508663992722
GENE16,806.351708813175,859.395379755724,1031.62125243369,812.717371957103
GENE17,868.520398297387,782.207139175327,1073.83378552588,886.233219846422
GENE18,929.815924575795,793.920607451004,879.454658778086,870.4627702277
GENE19,829.681290783179,888.033652963723,852.102711145271,771.586978612071
GENE20,840.757346894064,769.310317498542,746.59415247781,967.131083286321
GENE21,987.684268707687,746.764032430301,1002.97931006197,860.281150321921
GENE22,1156.6901208086,959.536170381359,998.320304235532,928.770635830324
GENE23,967.981447486464,894.620471042047,1106.54761096508,802.595846068202
GENE24,890.036081516126,1090.16178402179,774.352766060631,840.385624890906
GENE25,1061.21686931665,937.927454786506,941.569215619013,1074.87078814219
GENE26,775.023149485012,1049.23466522643,929.031253826524,810.476234010433
GENE27,1100.99464399726,991.948358212293,790.646169947173,850.505282547254
GENE28,802.231890844064,984.705755352191,923.248518822887,883.686288195118
GENE29,1078.86872288033,903.513829737803,978.922738412146,950.757084935839
GENE30,675.181693177609,791.37877959679,853.4300608546,990.940488097561
GENE31,800.844805370807,843.795323598406,974.916998280283,1103.33140458526
GENE32,953.953507969483,1107.32947537067,1018.62460736677,783.382488787245
GENE33,993.454574340455,973.906473073844,954.810371704957,1068.57412591343
GENE34,908.73871024528,985.512911588618,1141.61037449791,985.959455733164
GENE35,809.273572320758,963.492019164045,1024.58732815675,1040.33976578663
GENE36,854.777718332242,1047.73739565818,921.512699718447,1057.0557333876
GENE37,865.603390303951,985.676442834356,981.020276602317,948.296313469901
GENE38,952.375489498266,1176.39115737661,840.760362473225,911.597801200739
GENE39,737.100725135941,805.253566268782,1099.05109611383,1031.52269831504
GENE40,977.37681451917,907.718547961047,925.86833706225,805.563165175586
GENE41,840.474004514761,864.566746201079,958.121540149221,839.690620752666
GENE42,989.535951607094,872.813257409543,840.815870138343,800.606375942191
GENE43,1012.79086437358,882.812621059479,1118.81950830923,826.965534051118
GENE44,804.382668502048,956.336953414727,671.538011422846,690.002980207925
GENE45,847.460559165139,1112.38375099374,1022.60461652022,910.926603462743
GENE46,1020.82890906765,725.51145716916,1024.45257727295,853.555117935475
GENE47,960.797973104119,973.403400110404,983.589162587749,904.975424996078
GENE48,868.346634320239,1106.02806557682,1050.92155463519,901.242034860816
GENE49,837.705233900749,921.844632309493,856.488314102007,672.806939753117
GENE50,841.486261003647,887.13392118962,906.711005604029,885.351874315391
GENE51,1122.40271288652,902.660727140001,1116.07725803524,809.901468564125
GENE52,960.491930010997,967.544731712098,898.855621954447,973.076420145549
GENE53,771.196396567392,982.642882459171,881.064980706909,1048.87551827882
GENE54,1013.67776396937,960.713598445015,946.324365179614,896.884928770371
GENE55,896.001142550225,949.387317563161,843.963031279996,1038.34741412877
GENE56,888.486541931004,860.099690118722,861.602229067177,832.192930594052
GENE57,757.37604710758,1025.59421401035,1010.01470803171,692.270310947056
GENE58,1020.28869350148,882.572320532053,968.954530027609,944.2179899173
GENE59,1002.33725312331,923.046236222616,946.339623415526,874.567339731354
GENE60,980.513047751832,810.898996574522,861.549038679344,719.635158402303
GENE61,844.743661819149,810.625421884902,1034.18543944569,915.199247982709
GENE62,921.174904794156,946.20464745407,850.078648284021,831.970250997291
GENE63,962.763418181258,867.319149825266,959.473535798059,1017.75326171082
GENE64,860.195763877361,863.144002855575,702.698911897373,1098.34595219672
GENE65,763.659760939327,974.594360854158,967.294840204687,875.635012641096
GENE66,862.713476927782,951.894053422475,909.687846236048,971.679631413924
GENE67,702.231631938635,916.9733526225,1053.74696353425,957.553685589413
GENE68,756.825702599748,942.505026519547,981.050849816314,965.079742501484
GENE69,888.451068010004,1120.7931393218,1031.875788347,1082.22902753887
GENE70,918.769834271255,899.354907873156,720.664287012339,684.057598295115
GENE71,929.753884439345,723.311917867699,707.27106546351,718.56921962246
GENE72,905.116367310145,1172.02910158628,765.615786617761,817.308776704839
GENE73,908.69583836161,997.858873085671,819.853904176695,873.236530325002
GENE74,981.758431994846,863.759011955563,915.833624007705,673.820318076567
GENE75,1001.86669743332,1251.77551499855,925.285006849139,986.049620623088
GENE76,851.891965786007,795.78047435717,1022.25587598819,798.115590908965
GENE77,935.387007807439,989.533369246807,958.479420617236,971.388669762513
GENE78,1103.33186339971,1062.69549381761,805.152318137305,959.67442970619
GENE79,795.272323565213,745.600841957413,897.828634755373,946.844709079751
GENE80,988.83672862725,814.623136647452,974.284651884174,885.78948822068
GENE81,805.082613470869,978.130731917853,886.424004524649,941.376278669471
GENE82,1014.18787146408,1139.96298643491,859.968864850194,589.026221066297
GENE83,883.3763547031,905.560807365847,900.359486442037,1083.39786050367
GENE84,925.52310421839,908.731250257544,823.217402435053,1021.07034225514
GENE85,888.861578215244,854.815635119655,854.476909292773,978.082743398104
GENE86,842.352917865531,996.694493885031,1125.79368707484,893.303625344686
GENE87,1015.12662240732,927.371996387656,987.342223864947,950.705201866369
GENE88,919.086461970618,1075.9505470685,990.028096179916,915.618284851113
GENE89,893.192963666662,919.525710242764,828.152680516754,976.953843431981
GENE90,804.5703129119,781.49375067445,862.92801323477,843.915655452531
GENE91,732.148179583403,957.691218447992,797.140596925409,893.614472480108
GENE92,818.146519126871,994.21217283571,833.048142755328,964.107221897782
GENE93,841.384710604177,944.287618607217,1095.65275795819,928.544293399024
GENE94,945.060675190015,946.162119316826,882.791092230603,923.432463126021
GENE95,930.459357780937,885.123277901868,795.055170279972,660.009772705674
